amwriting 1044285651812839424 .41 .04 0 5 229 12 30398
writercommunity 1044285651812839424 .50 .04 0 2 229 4 30398
author 1044285651812839424 .33 .04 0 17 229 51 30398
authorlife 1044285651812839424 .66 .04 0 2 229 3 30398
writer 1044285651812839424 .65 .04 0 62 229 94 30398
BookRecommendations 1044285651812839424 .71 .04 0 15 229 21 30398
booklover 1044285651812839424 .77 .04 0 7 229 9 30398
Novel 1044285651812839424 1.00 .04 0 4 229 4 30398
Books 1044285651812839424 .53 .04 0 7 229 13 30398
Addiction 1044285651812839424 .25 .04 0 1 229 4 30398
addictionrecovery 1044285651812839424 1.00 .04 0 1 229 1 30398
books 1044285651812839424 .69 .04 0 51 229 73 30398
book 1044285651812839424 .60 .04 0 122 229 202 30398
novel 1044285651812839424 .90 .04 0 10 229 11 30398
novels 1044285651812839424 1.00 .04 0 4 229 4 30398
writerslift 1044285651812839424 .66 .04 0 34 229 51 30398
writer 1044285651812839424 .65 .04 0 62 229 94 30398
writers 1044285651812839424 .67 .04 0 54 229 80 30398
selfpublishing 1044285651812839424 1.00 .04 0 1 229 1 30398
fantasy 1044285651812839424 .65 .04 0 21 229 32 30398
fantasybooks 1044285651812839424 .75 .04 0 3 229 4 30398
scifi 1044285651812839424 .71 .04 0 15 229 21 30398
scifibooks 1044285651812839424 1.00 .04 0 3 229 3 30398
sciencefiction 1044285651812839424 .50 .04 0 1 229 2 30398
horror 1044285651812839424 .75 .04 0 9 229 12 30398
horrorbooks 1044285651812839424 1.00 .04 0 1 229 1 30398
writingcommunity 1044285651812839424 .90 .04 0 10 229 11 30398
writerscommunity 1044285651812839424 .57 .04 0 4 229 7 30398
readerscommunity 1044285651812839424 .66 .04 0 6 229 9 30398
reader 1044285651812839424 .48 .04 0 12 229 25 30398
Elves 1044285651812839424 1.00 .04 0 1 229 1 30398
dragons 1044285651812839424 .50 .04 0 1 229 2 30398
demons 1044285651812839424 .50 .04 0 1 229 2 30398
fantasy 1044285651812839424 .65 .04 0 21 229 32 30398
indiepub 1044285651812839424 1.00 .04 0 1 229 1 30398
scifi 1044285651812839424 .71 .04 0 15 229 21 30398
fantasy 1044285651812839424 .65 .04 0 21 229 32 30398
patreoncreator 1044285651812839424 1.00 .04 0 1 229 1 30398
writerscommunity 1044285651812839424 .57 .04 0 4 229 7 30398
bookcommunity 1044285651812839424 .50 .04 0 1 229 2 30398
erotica 1044285651812839424 1.00 .04 0 11 229 11 30398
hentai 1044285651812839424 1.00 .04 0 1 229 1 30398
PossessionFantasy 1044285651812839424 1.00 .04 0 1 229 1 30398
amwriting 1044285651812839424 .41 .04 0 5 229 12 30398
writercommunity 1044285651812839424 .50 .04 0 2 229 4 30398
author 1044285651812839424 .33 .04 0 17 229 51 30398
authorlife 1044285651812839424 .66 .04 0 2 229 3 30398
writer 1044285651812839424 .65 .04 0 62 229 94 30398
BookRecommendations 1044285651812839424 .71 .04 0 15 229 21 30398
booklover 1044285651812839424 .77 .04 0 7 229 9 30398
books 1044285651812839424 .69 .04 0 51 229 73 30398
WritingCommunity 1044285651812839424 .45 .04 0 33 229 72 30398
kindlevella 1044285651812839424 .16 .04 0 3 229 18 30398
Reviews 1044285651812839424 1.00 .04 0 1 229 1 30398
mentalhealth 1044285651812839424 .46 .04 0 12 229 26 30398
writerslift 1044285651812839424 .66 .04 0 34 229 51 30398
KindleVella 1044285651812839424 .75 .04 0 3 229 4 30398
KindleUnlimited 1044285651812839424 .62 .04 0 22 229 35 30398
Audible 1044285651812839424 .33 .04 0 1 229 3 30398
KindleUnlimited 1044285651812839424 .62 .04 0 22 229 35 30398
KindleVella 1044285651812839424 .75 .04 0 3 229 4 30398
readingcommunity 1044285651812839424 .80 .04 0 12 229 15 30398
Romance 1044285651812839424 .72 .04 0 13 229 18 30398
RomanceReaders 1044285651812839424 1.00 .04 0 1 229 1 30398
BookTwitter 1044285651812839424 .39 .04 0 9 229 23 30398
bookworm 1044285651812839424 1.00 .04 0 1 229 1 30398
booknerd 1044285651812839424 1.00 .04 0 1 229 1 30398
Kindle 1044285651812839424 .67 .04 0 40 229 59 30398
ebook 1044285651812839424 .51 .04 0 25 229 49 30398
Reading 1044285651812839424 .63 .04 0 7 229 11 30398
Romancebooks 1044285651812839424 1.00 .04 0 1 229 1 30398
kindlevella 1044285651812839424 .16 .04 0 3 229 18 30398
Romance 1044285651812839424 .72 .04 0 13 229 18 30398
scifi 1044285651812839424 .71 .04 0 15 229 21 30398
fantasy 1044285651812839424 .65 .04 0 21 229 32 30398
erotica 1044285651812839424 1.00 .04 0 11 229 11 30398
indieauthor 1044285651812839424 .20 .04 0 7 229 34 30398
comicbooksforkids 1044285651812839424 1.00 .04 0 1 229 1 30398
comic 1044285651812839424 .75 .04 0 15 229 20 30398
writerslift 1044285651812839424 .66 .04 0 34 229 51 30398
WritingCommunity 1044285651812839424 .45 .04 0 33 229 72 30398
books 1044285651812839424 .69 .04 0 51 229 73 30398
book 1044285651812839424 .60 .04 0 122 229 202 30398
author 1044285651812839424 .33 .04 0 17 229 51 30398
comics 1044285651812839424 .83 .04 0 5 229 6 30398
website 1044285651812839424 1.00 .04 0 1 229 1 30398
poetry 1044285651812839424 .26 .04 0 11 229 41 30398
amazonbook 1044285651812839424 1.00 .04 0 3 229 3 30398
Achieve 1044285651812839424 1.00 .04 0 1 229 1 30398
LifeDaily 1044285651812839424 1.00 .04 0 1 229 1 30398
Progress 1044285651812839424 .06 .04 0 1 229 16 30398
Huge 1044285651812839424 1.00 .04 0 1 229 1 30398
Results 1044285651812839424 1.00 .04 0 1 229 1 30398
kindlebook 1044285651812839424 .80 .04 0 4 229 5 30398
books 1044285651812839424 .69 .04 0 51 229 73 30398
paperback 1044285651812839424 .85 .04 0 6 229 7 30398
UKBOOK 1044285651812839424 1.00 .04 0 1 229 1 30398
torchwood 1044285651812839424 1.00 .04 0 1 229 1 30398
VioletNeill 1044285651812839424 1.00 .04 0 2 229 2 30398
amwriting 1044285651812839424 .41 .04 0 5 229 12 30398
Hollowtrilogy 1044285651812839424 1.00 .04 0 1 229 1 30398
Surface 1044285651812839424 .50 .04 0 1 229 2 30398
WritingCommunity 1044285651812839424 .45 .04 0 33 229 72 30398
books 1044285651812839424 .69 .04 0 51 229 73 30398
BookRecommendations 1044285651812839424 .71 .04 0 15 229 21 30398
follo4folloback 1044285651812839424 1.00 .04 0 2 229 2 30398
VioletNeill 1044285651812839424 1.00 .04 0 2 229 2 30398
AuthorsOfTwitter 1044285651812839424 .71 .04 0 10 229 14 30398
leadership 1044285651812839424 .23 .04 0 3 229 13 30398
Management 1044285651812839424 .30 .04 0 3 229 10 30398
readerscommunity 1044285651812839424 .66 .04 0 6 229 9 30398
readers 1044285651812839424 .61 .04 0 11 229 18 30398
freebook 1044285651812839424 1.00 .04 0 7 229 7 30398
whattoread 1044285651812839424 .66 .04 0 2 229 3 30398
greatreads 1044285651812839424 1.00 .04 0 2 229 2 30398
mustread 1044285651812839424 .33 .04 0 4 229 12 30398
newbookBBBBBBle 1044285651812839424 1.00 .04 0 1 229 1 30398
BookRecommendations 1044285651812839424 .71 .04 0 15 229 21 30398
